Image,Label
29297,4
15243,8 4
28712,2 4
9220,6 4
903,0
21714,6 4 7
23559,5 4
25545,6 2
4199,8
17886,4
29470,4
11966,9
22935,5 4
16909,6 4
15653,6 4 7
15967,6
12058,6 4
27450,6
2934,4
22847,6 4
21470,8 7
2597,6 4
19434,6 1
21967,4
28629,0
14079,6
21915,6 4
10861,1 4
29703,6 4
30246,6 4
7398,3 2
10278,3
22387,2 7
11576,4
30140,6
15679,2
5157,4
11290,3
28502,0 4
6491,4
30145,4
30543,4
11718,2
17166,1
12535,4
16029,6 3 4
10628,6 7
5934,4
11909,2 4
5490,9
24399,4
1769,3
28981,6 4
4522,0
29466,4
20957,6
4727,4
9064,6 1
18370,6 1
24103,5
11844,4
3072,5 4
26173,7
27691,2 4
1139,0 4
5564,0
26240,9
29306,1 7
10881,4
21629,4 7
5404,0
24892,4
7640,3
12787,7
8928,4
29556,7
15287,6 9
21264,8 4 7
3253,5
12420,0
29537,1
19118,3 4
16929,2 4
11496,2 4
29291,8 4
4948,6 3
24002,6 7
12034,4
28658,4
6266,3 4
28674,6 9
10873,8
12418,5
28120,7
18653,6 4
16437,4 7
5152,0 4
23764,3
3911,1
3496,7
15076,6
13543,8 4
25576,6 4
349,6 1
29238,4
24803,0 2
22183,4
10935,1
9266,4
1802,4
11165,6
23963,6 9
19809,6 4
1798,4 7
7534,6 4
5168,0 4
18224,0
16311,0 4
8908,8 4
30677,4 7
28984,6 5
19477,5
28494,6
27054,1
2974,6
27237,6
7272,0
25489,4
27914,2
17989,0
27307,6
24991,6
13615,4
12552,6 4
18753,6
28359,0 4
6022,4
21324,4
20359,0 4
977,6
15998,4
19486,6 4
1157,3
2823,4
30815,4
13255,0
23024,1 4
8853,9
13184,6 2
16218,0
17621,0 2
7525,1
22218,4
2285,4
2735,6 4
9039,3
15956,8 4
16159,0 5 4
13379,3 4
14332,4
12128,3 4
179,4 7
22653,4 7
22990,2 4
7479,4
22444,0
11630,6 4
13438,6 7
7157,0 4
27314,4 7
6484,0
8398,6 4
22641,5 4
5317,2 4
30002,9
22846,8
30291,6 4
16595,0
3094,4
14275,7
2890,5
21123,4
8864,1 7
7423,4 7
12155,8 4
8,0 1
26235,4 7
4566,3 4
668,0
22214,6 4
22947,6 4
30687,0
794,4
4791,6
152,4
13614,1 4
24914,5
6143,4
92,2 4
7979,8
8240,3
1543,8 4
18396,2 4
21515,3
22478,6 4
10532,3 4
15052,4
7785,2
27258,3
3399,4
23969,6 4
2859,8 4
8233,6
6329,2
26959,5 4
26854,9
27194,4
23594,2
7392,4
926,2 4
11431,1
14028,0
9990,7
3294,6 4
10575,4
27942,0
29725,3 4
6041,6 0 4
11711,4
866,3 4
8696,3 4
13841,2 4
14544,0
18098,4
4837,4 7
24940,5
16524,4
5902,8
26846,0
19038,0
16809,6 4
20704,4 7
4008,8
3879,6 2
1882,0
3555,2 4
11778,6
14277,6 5
28041,6 5 4
18596,1
10122,1
5184,6
15627,2 4
424,3 2
26795,6 1
16338,6 4
3817,3
11540,4 7
11285,6 1 4
19479,0
16497,5
6583,6
12938,2 4
29090,7
17387,4
7035,4
21640,7
29824,4
29906,7
18207,7
19288,2 4
7922,6 7
16233,5 4
6953,2
24822,6 7
27525,6 4
23834,2
6040,8
18243,6
29287,4
6415,0
3820,9 7
24871,7
3904,6
901,6
15645,4
5367,6 4
7667,7
25227,6 3
26317,0 2
2190,6
4297,6 3
21374,8 4
2306,5
27937,6
15495,8 4
3766,6 9
20426,4
30651,4
7580,5 4
11753,1
11428,8
28245,0 4
27264,6
4763,8 3
7875,4
24225,2
16308,4
11189,7
3545,6 1
6825,8
11405,4
20758,4
26856,6 0
16707,4
21660,7
16425,2 4
21888,7
24184,4
20927,3
8339,2 4
15043,6 4
26742,4
8860,5
25924,6 1
21366,4
21564,9
17773,7
15765,6 4 7
10485,2 4
13542,2
1136,6 4
9860,2
14773,6 5
17995,0
24689,3
3243,4
14166,6 4
970,6 9
25876,6
18941,7
15876,6 4
1675,5
15976,6 4
10180,6 4
21649,6 4
2654,8 4
21787,6 0 4
10241,1
24967,3 4
26851,1
17191,4
29685,9
28133,2
12250,6
16188,6
3483,0 4
5031,8 4
5486,3
350,6 4
1063,5
30216,6 4
23329,0
16310,4
16717,4
29486,6 2
20314,0 2
16006,1
15948,6 4
22086,6 4
1785,4
5983,4
4463,6
20238,4
6962,6
19330,6
1665,6 4
29162,5
15643,8
9304,9
15710,7
5794,9 7
10261,6
22763,0 4
14156,6 4
635,0
3145,5
3115,4
15414,6 5 4
8581,1 7
18706,6 7
30778,2
27220,4
9154,7
4701,7
29809,6
26722,0
26171,3 4
8070,6
18682,6 4
24633,0
9585,2
9988,0 4
6437,9
19367,4
30098,0
19726,1
9049,8 4
3028,6
12052,6 7
20266,2
12538,4
22209,4
23000,6 3
8892,8 0
19824,6
2511,2
11195,6 9
11216,6 4
5099,6 1 4
2855,6 5 4
10647,4
3373,7
9767,4
20033,1 4
29125,8 4
9426,6 4
15932,3 5 4
8476,1 4 7
20557,1 2
3127,4 7
12287,6 5 4
4583,2 4
13401,1
24733,2
25609,7
22560,0 4
21553,1
25175,6 0
8748,6 4
12841,4
16935,2 4
5494,4 7
8032,6 1 4
16740,7
26426,0
20113,2 4
30823,7
23591,6 4
28708,6 4
17157,3
18768,9
29265,6
27627,5
3259,3 4 7
1328,8 7
12120,9
16230,6 5 4
27824,4
3141,6 3 4
23704,2 4
15327,4
21731,5
7589,4
8227,6
27709,4 7
14958,6 7
21533,8
2629,3 4
28744,4
26369,6
2541,2 4
27191,4
27760,0 2
7280,0
29075,1
10212,9
7608,7
20718,0
3915,6 2 4
5127,9
5728,2
29430,3 4
22816,4
9901,4
10938,6
17301,6
6914,0
12355,0 4
27008,4
29073,3 4 7
21389,4 7
24467,6
24283,7
5018,2
26641,8 4 7
21613,3 1
26561,1
14471,0
3192,0
8300,1
30065,2
5513,6 4
13610,0
687,8 4
13221,6 4
11358,4
3296,4
8276,9
11102,6 3
9799,3
16832,6 7
3026,6
27488,6 7
23528,8 4
839,2 4 7
12283,6 2 4
3508,3
16644,6
9363,2
14473,9
30545,6 4 7
4076,6 4
10272,6
17008,2 4
26114,4
5252,9
11671,6 7
1918,4
17805,6
23550,8 3 4
18761,6 2 4
4523,4 7
5329,8 4
5547,0 4
23947,6 3 4
20650,3
18839,3 9
30685,6 4
28355,8
6336,6 4
1532,5
9808,7
24445,2 4
29644,0
6195,5
11191,1
11695,5 4
18772,3 7
8387,1
25326,4
26906,3
4903,6
3452,0 4
4724,6 4
3589,4
14564,9
10656,6 7
12247,6 1
30492,5
29620,0 2 4
20767,4
14709,0 4
17560,3
25633,6
5014,6 3 4
21664,4
9652,2 4
27361,4
10740,6 4
26153,4
28260,4
233,3
6073,6 2
9390,4
29872,4
18677,2
30656,3 4
13071,2 4
24581,0
1936,6
19926,4
24529,2
22907,8 5 4
8889,6 3
769,4
18527,4
2335,7
15306,2
28440,8 4 7
9172,4
644,4
21816,1
11659,4
24421,4 7
28179,7
10162,1 4
7275,6 4
6398,4
8385,4
24205,6 0 4
28072,2 4
24367,1
1755,6 4
5439,2 7
26824,5 4
9115,4
9044,2 4
17588,6 1
18945,6 2 4
566,6 4
28599,1
11626,4
22838,3
21809,4 7
19717,5
5468,6 4
9376,5
11523,5
19109,6
1929,6 4
25917,6 4
9222,9
18884,6 7
1493,8 4
10268,5
10781,1
10219,6 4
26036,2 4
18376,7
12238,4
6342,6 4
7700,4 7
10930,6 7
8108,3 2 4
4129,2 4
13722,9
13426,1
5674,0
17411,4
22103,6
17472,4
7951,6 2 4
22683,2 4
29514,4 7
6558,4
18461,4 7
887,4 7
12773,2
5110,9
19377,3
26983,5 4
27986,7
30524,6 4
17153,4
10700,4
10773,6
18849,0
28830,6 4 7
13639,4 7
17501,6 1 4
1465,0
24386,6 4 7
12895,6
7727,9
30869,4
13149,6
30169,7
9913,4 7
26785,5 4
19636,3 4
7239,6 7
24582,8 3 4
1231,5
23389,7
14794,6 1
24950,6 2 4
19179,4
20461,2 4
2768,6
14681,6 4
5203,2
3149,3
2754,6 4
149,6 2
17026,3
19622,6 4
28630,4
22196,6 4
16069,6 7
29303,4 7
16927,9 7
11212,6 4 7
3898,9
17076,4
30612,5
21045,3
18403,2 4
8611,5
8008,6 4
15453,1
26679,6 2
30891,7
8838,0 4
4192,6 4
4279,6 4
3835,8 4
10380,6 4
8305,2 4
2999,4
3348,5 4
19577,6 2 4
10077,4
4530,4
23514,0 4
3699,6 4
18493,4
6548,2 4
1851,6
16905,3
16262,1
27139,1 4
19114,2
18507,9 2
14880,6 4
21132,3 2 4
8706,6 4
27089,4
28568,0 4
23786,1
12123,8
19892,0
11124,4
4280,2
17133,0 4
13416,2
4813,2 4
26892,7
25344,2 4
5032,1
17111,6 3
17619,8 0
14349,1
10332,3
16264,4
18656,6 4
25492,6
4926,6 1
19347,3 7
8858,0
13342,6 4
14346,4
6254,6 4
18173,4
29904,4 7
2313,4
16132,0
26609,4
6424,4 7
17458,6
3368,6 4
13836,2 4 7
17369,6 4 7
16778,4
16469,2
14429,6 4
20271,3
30707,6
11345,9 4
22817,2 7
3842,5
3731,6
29284,6 4 7
12608,3
28505,6
7773,3
26783,4
17523,6 4
3484,0
9504,0 2
7103,6
11426,6 4
15139,9
23216,4
7327,6 1
21778,4
20435,4
23860,3
11231,4 7
10620,5
20274,0 5
4711,6 4 7
15788,4
20129,2 4
24695,6 2
4807,4 7
7410,5 4
3165,5 4
28770,6 3 4
1311,6 4
12415,7
11905,6 0 4
21972,1
21732,8 4
9612,5
8174,6
28059,2 4
16358,6 4
11281,3 4
4835,6
5738,0 2
10762,6 1 7
1784,4
17543,6
10349,0
20857,3
15728,6 4
24600,6
4857,4
11619,4
29069,2 4
18074,6 2
24351,6 1
26727,6
10836,4
13168,2 4
15499,8
23260,4
25635,6
523,4
19060,8 6
29339,9
24905,0
20923,6 4
1811,1
22941,3 4
8153,6 1
8578,0
21526,7
9338,2
30212,6
7699,6 2 4 7
17467,0
19920,4
7466,8 2 7
10224,0
7975,4
12003,0
20342,4 7
19239,6
13465,2
17136,6 4
13281,6 4
3184,5
4907,4
7273,4
1955,6 7
24180,1 4
24170,6
20613,9
11931,1
17980,5
14407,2 4
12447,2 4
1364,5 4
24099,4
13372,4
1073,4
28710,4
16959,0
20433,6 4
21693,4
25741,4
10019,3 4
10578,1
22770,9
30396,0
17682,2 4
26685,4
12454,1
23678,4
24096,0
1,3 2 4
16597,6 9
19586,4 7
10084,3
21342,1
8428,1
6333,4
25253,6 2 4
13681,6 4
24508,5
1421,6
27179,0
24167,6 3
8022,2 4
3830,0
14303,6 7
23719,8 0
21070,4
27698,7
13334,4
6434,9
2122,0 4
17699,7
823,4
394,6 4
9812,6 5 4
21903,0 4
2648,1 4
12684,6 7
21414,8
28471,0
685,1
10467,2 4
29428,4
2089,4
24357,2 4
14269,4
21786,4
14897,9
3929,1
13971,4
266,6
282,8 2
2177,6 7
8920,4
29352,6
5916,6 2 4
23240,6
16181,2
30814,6
19812,4
4725,3
10787,6 3
24417,4
23612,6
23593,6
14896,6 0
1913,2
7453,9
11520,1
4413,6 0
20829,6
8507,6 7
30213,4 7
23629,0
30361,4 7
12284,6 2
17167,3
28106,3 4 7
787,0
2494,1 4
24745,6 3
2738,9
8758,6 4
16265,6
27657,8 7
475,4
19740,5 4
11455,2 4
8006,2 4
11022,4
17541,4
27216,0
21555,6 4
23370,1 7
27686,7
14255,6 4 7
1901,6 2
4709,0
29420,4
13790,3 4
29857,6 2 4
29229,5
9389,6
1331,4
8297,4
12696,0 2 7
28518,7
26092,6 7
741,6 4
2364,7
13713,4
5208,4
4859,6 5 4
1087,8 2
1096,6 4
14119,5
20191,4
19598,4
18999,9
29729,9
26638,0
29834,6 5
8658,6
21890,4
22546,2 4
24330,4
8698,6
26276,6 4
1877,2 4
7708,1
18915,3
16474,8 4
22141,4
8763,6 2 4
26408,6
1606,4
12357,4
30692,1
22453,0
23662,6 4 7
20725,5
28111,6 5 4
26732,2
27512,6
30164,5
3311,7
25768,8 4
14022,1 2
25559,6 4
30504,6
8480,8 4
1997,2
18230,0 4
20545,6 4
28222,8 2 7
19874,2 4
7547,4
28490,7
9346,2 4
22397,1 9
18869,4
20468,2 4
5509,5 4
3437,6
28294,1 4
29301,0 2
30276,4
19570,4
2606,6 4
4862,1 4
9297,2 7
5625,3
26633,0 4
24227,2
13650,2 7
20518,0
22725,4 7
15383,9
26643,7
5797,3 1
10201,1
24670,6 0
22795,4
7932,2
9231,9
13891,5
11956,3 5
2218,1 2
27974,6 7
27185,6 1 4
15013,6 4
22588,4
27650,9
1560,6
2696,1
8335,4
28538,6
4115,1
30540,2 4
1903,2 4
22774,8 4
6121,4 7
3308,2 4
15871,6 4
30949,6 2 4
20396,0
22976,8
31015,3
19968,6
17286,6 4
7915,4 7
24560,6 7
197,0 4
5290,4
17715,1 4
11739,4 7
16779,4
30144,8
29001,8 2 4
9036,9 7
25929,3
29508,7
21184,2
12873,7
7610,6 7
23279,0
28904,6
23981,6 4
10221,6
16562,1
8522,0
19547,2 4
14555,6 7
27477,7
8609,3
7373,0 4
2037,4
29478,1
16457,1
1381,0 4
16516,6 7
2731,8
9110,3
10815,7
18536,3 4
12341,1 4
17532,6 4
8290,4
19655,7
19997,6
4153,3
2240,4
20946,7
10113,7
12478,4
22287,0
8161,6
23420,4
15580,0 4
6026,3
9324,4 7
8282,3
24098,6 4
9053,1 4
26244,6
2565,2
13590,6
30042,0
21140,2
11830,4
18279,0
7236,2
16745,0
8188,4
22680,6 4
5693,4
9270,6 4
28886,9
29812,8 6 4
28232,5 4
8192,4
5426,9 2 4
1326,2 4
11773,3 4
26500,2
17987,4
30030,4
2324,7
20992,6 9
26019,9 7
21535,9 7
18665,0
1514,9
20209,9
10974,6
27356,2 4
23025,6 4
1130,4
3642,5 4
16041,0
7062,6 4
16721,2
79,8 4
26758,1
6503,9 4
23504,7
27888,8 1
18218,5 4
27855,4 7
25210,2 7
21639,8 6
23748,4
15523,2 4
1077,2
2238,6 4
11503,8 4
20345,6
7696,4
14623,5
13945,3 4
12470,6
21658,5
27542,4
16752,6
23254,5
4990,1
19233,7
25276,6 7
24237,0 4
28465,6
18570,5
23405,6 4
29716,3
8294,4 7
14380,4
6882,3
29977,4
13363,4
14798,5
30360,0
24030,6
20692,0 5 4
14391,2 4
6758,6
10065,2 4
6541,4
28688,1 4 7
22616,8
17897,0 2
527,6 1 4
6930,2
4812,6
4731,0
14092,6 0 4
29094,3 9
23800,2 4
26596,3 5
25814,6 4
27862,1 4 7
2832,6 7
10752,6 3 4
21835,4 7
30043,4
31064,5 4
23471,4
14280,6
26373,8 9
13058,6 1
12919,4
21203,2
22967,2
24191,6
13330,9
9987,1
29521,6 4
11593,2 4
17836,6
20409,6
24256,1 4
24942,3
6645,3
23931,4
8395,9
10014,6
12290,6
19438,9
10985,6
14285,6
23813,4
166,6 4
24058,4
15124,9 4
12337,6 7
6289,4
29905,4
15270,6
7039,5 4
5479,2 4
21595,1
8849,0
19466,0
14393,9
27133,4
6926,5
26957,4 7
9595,6 9
28196,6 7
4336,8 4
21039,6 1
29822,1 4
14100,4
25014,6
28374,4
3597,2 4
5358,1 5
22166,1 4
23788,4
28307,3
8219,1
26512,1 7
13584,3
16395,6
23399,6 0 7
8962,6 1
3460,6 4 7
26877,6 4
11874,2
22179,2 4
15340,8 4
11806,4 7
23733,6
27916,6 4
338,5
9587,9
20685,6
20986,3 4
3531,6
27496,6
7037,9
18122,2 7
17798,6 1
8541,7
9965,6 4
10023,1
18939,7
9226,6
30085,0 2
10296,3
19927,4
2180,8 6
7101,7
19711,6 1
14690,5
4257,6 4 7
19328,4
27196,0 4
9066,2 4 7
19049,2
9055,4
1527,3
28902,4 7
1733,3 1
25037,4
3774,3 4
9155,3
9267,4 7
3777,0 4
28570,6 4
6785,9
6452,8
21127,2 5 4
25375,0
13793,4
6379,4
8863,2 4
816,3 4
26753,6
10236,3
23154,4 7
15889,6
4702,6 4
12316,6
565,6
12087,1
2825,6 7
30304,1
7781,2 4
16418,6
14268,4 7
20188,1 4
25915,0
2954,0 1
10409,0
18581,4 7
22812,6 0 4
3492,4
4707,0
8556,6
19663,4
16190,3
2677,1
9713,1
18217,4
5640,5 4
24409,8 4
5848,4
15785,6 1 4
3413,6 2
31010,4
27861,4
5330,9
12980,3
15102,5
20838,6 1
1958,4
7344,4
1295,6 7
29710,9
24700,3 4
29307,1
16226,9
389,6 1
6791,4
26211,0
20511,6 2
607,4
4689,0 4
29996,2
7786,2 4
26091,4
11651,0 4
11725,7
3690,6 4
10949,1 4
25394,8 4
31070,2 4
19525,9
7827,8 4
22630,4
22825,9
25718,5 4
9365,6 7
10653,4
13947,0 4
27573,4
8495,1 4
9321,5
48,0
8813,3 4
8833,6 2
26289,3
10942,0
11309,6 9 5
5930,6 0 4
29632,5
26612,6 0 4
13424,3 4
9495,7
11902,6 5
19116,0 4
13385,3 4
22513,2 4
15247,6
15397,3
14282,1 4
25284,6 7
13879,3
22068,7
4899,6 4
15789,0 4 7
4044,3 2 4
29529,6 7
22633,9
16508,6 1
1419,6 2
24932,6 2 4
21893,6 7
18738,8
23135,6 7
13747,5 4
12742,6 4
4533,1 5
19853,9
7540,9
30321,4
7641,3 4
11726,2
19507,1 4
864,8
18935,6 3
17374,2
25372,7
5538,3 4
29841,6
14212,4
6391,1
28889,3 5 4
14557,0
21315,4
2826,8 4
15206,8 6
29004,2
16795,5
29192,0
23979,6 4
7729,0 4
15478,9
16915,9
4784,3
4510,4
2492,6
11862,0
18035,6 2
15770,4
3582,6 3 4
8352,8 4
2750,2
27145,1
739,3
852,3
15231,9
3436,7
2518,6 2
19697,9
9152,4
3304,0
12766,0
15955,0
28616,4
17778,4
20120,3
16797,3 2
25845,0
14686,6
12855,4
1027,2 4
5251,3
5020,4
18855,4
8501,4
16529,6 4
17909,6 4
27704,5 4
16934,8 6 3 4
13494,9 7
9005,3
19003,8 9
724,8 0 4
19095,6 2
19607,4
12871,4 7
11283,4
15177,5
6611,1 4
19483,4
3356,4
30044,1 4
18131,3
30457,2
7217,6 7
22779,1
17674,0 4
840,6 4
13720,6 7
14605,0
30939,5 4
22664,7
11500,6 0 4
1019,6 1
19741,2
22419,1
10626,6 1 2
27079,3
24613,4
7504,8
15088,6 2
10116,9
20921,4
16748,6 1 4
24612,2
13127,8
7783,1 4
29170,6 3
5716,4
19661,4
30758,2
18138,4
30706,5 4
19298,6 4
30942,4
10111,1
26972,6 2 4
31050,6 9
19565,4
8182,9
20847,4 7
8800,2
24540,6 4
25944,7
14274,6 4
27080,3
17316,0 2
30693,9
11146,1
2885,7
16767,1
25025,7
11395,6 4
3002,4
17926,4
4217,4
18584,0 4
28047,6 1
6315,1
9223,6
28907,6
10281,4
1653,2 4
23089,1
2311,4
20019,4 7
2797,4 7
16774,4 7
5524,4
2914,6
1976,3 4
3698,6 4
7431,0
2431,0
30116,3
6457,2 4
3201,6 4
31063,2 7
22422,2
27985,6 5
5742,4
13443,4
26463,4
21166,6 4
9928,9
11138,7
3816,4 7
13371,4
3927,3
3648,6 9
8850,2 4
4699,0
1193,6
15570,6 4
14584,9
12540,8
16204,4
296,6 0
17979,6 1 4
23908,1
948,6 4
20852,6 4
22060,6 4
18658,4
28216,2
6525,1 4
12007,0
14603,2
9119,6 7
14834,4
8512,2 4
22289,6 3 4
18476,4
22435,1 4
19752,9
6038,9
237,7
2827,6 4 7
5612,1
28725,4
17752,4
8820,0 4
1470,9 4
30428,6 1 4
17983,7
14778,0
29571,0
423,3 4
16101,4
3074,6 9
1085,0 4
6570,4
18657,4
3053,4
11437,6 4
16827,8
183,3 4
14757,3
20356,8 4
12445,6 0
4853,0
26044,0 4
8808,2
23862,5 4
5517,6 4
14713,0
30031,0
5135,6 9
8025,1
27348,4
8673,4
23757,3
4895,4
20152,1 4
27714,4
8207,0 4 7
28165,4
13732,3
13271,3
24547,1
21661,6 4
1987,0
22868,6
2173,5
26940,2
21586,0
28980,4 7
10448,1 4
5151,3
17122,6
14012,3 4
4307,6
26551,6 3 4
13183,2
20306,6 3
16850,5 4
21524,6
6809,6
5557,6 4
10147,8 4
7762,9
17575,6 7
7832,7
4282,6 4
10000,4
736,2
6642,1 4
8532,4
4301,4
12811,4
28938,6 3 4 7
13397,0
11772,6 4
13632,6 2
18582,1
25490,8
30403,8 6
3586,0
30710,4
12441,5 4
10086,0
12845,0
14415,0 4
20481,8 4
19684,4
15315,7
25622,4
17844,5
23890,8 4
10868,6 4
7326,8
22709,4
30954,4
29218,6
17652,3 5
9126,0 4
1401,4
12455,4
22184,6 1 4
22706,4
11884,9
23993,3 4
7355,6
25453,7
28665,6
28138,5
29763,2 4
30418,2 4
27913,2
14944,0
13538,6 7
19596,0
7581,2
7202,4 7
29769,6 9
13952,1
16464,3
21134,6 1
12401,6 4
27779,6 4
11542,1
1996,9
29939,3
14792,4
1680,6
9553,4
28559,4
21949,7
22011,6 7
3849,3 4
290,9
22480,9
29554,6
4121,3 4
1618,4
27810,5 4
13111,8
30571,6 4
935,5 4
13758,9
19755,6 1
27464,4
6428,9 7
25094,6 4
6546,4
23509,6 0 1
947,2 4
19885,8 4
9915,6 4 7
28348,0
22769,3 4
25507,4
13878,6 4
16923,6 5 4
11175,6 2
14901,6
11360,0
14532,0
1189,6 4 7
10928,8
9914,6 9
22498,5
3682,2
304,6 4
24371,6 4
23584,6 4
9194,3
4739,5
17426,9
10857,6
10549,6
8545,5 4
7940,6 4
16896,3 4
12112,2
17082,8
16811,9
6654,6 4
8599,7
28109,2
3084,4
16167,3 4
9221,8 4
23639,6 4
12177,6 1
25638,4
4086,6 0
21331,6 9
30283,3
5337,3
26335,6 4
28664,3
16284,6
16482,4
16492,0
28071,0
3187,7
24952,6 4
20199,4
6498,8
22543,6 9
1643,6 9
12562,0
30898,1
3234,6 3 2
7901,4 7
16967,5
1521,6 1 2
30560,9
19513,8 4 7
24430,5 4 7
29821,4
2550,5
24068,8 4
4939,6 1 2
9236,6 4
30313,6 2 4
20141,3
25153,6 1
6296,4
20380,1 4
20808,6
19531,2
16219,1 4
9804,4
17372,9
3954,2
30640,6 4
487,3
30971,1
8274,7
16730,1
4092,2
27676,4 7
12987,7
207,4
19120,6 4 7
10538,6 2 7
7131,0
6341,2
22932,9
9247,4
10307,6 4
29681,9
3895,8 6
28358,0
18143,6 4
14940,7
30023,2
21864,3 2 4
13983,0 4
3873,4
25568,4
11785,7
24011,4 7
27847,6
4585,2 5 4
25393,6 5 4
14831,8
